nom,parent,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Deezer,Access Industries,Retailer,,DTC,,,,#F7D7D1
Thalia.de,Advent International,Retailer,,DTC,,,,#EFB4A9
Bol,Ahold Delhaize,Retailer,,DTC,,,,#E78C7B
Alliance Entertainment,Alliance Entertainment Holding Corp,Distributor,,B2B,,,,#A5CED7
Google Play,Alphabet,Retailer,,DTC,,,,#E58371
Youtube,Alphabet,Parent,,,,,,#D7C7DD
ACX,Amazon,Distributor,Producer,,,,,#6AADBC
Audible,Amazon,Retailer,,DTC,,,,#E37B68
Brilliance Publishing,Amazon,Publisher,,,,,,#59A998
Books-a-Million,"American Public Education, Inc.",Retailer,,DTC,,,,#E1735E
Apple Audiobooks,Apple,Retailer,,DTC,,,,#E06B55
Xlibris,Author Solutions,Distributor,,B2B,,,,#4C9DAE
Binge Books,Authors A.I,Retailer,,DTC,,,,#DE624B
Axiell,Axiell Group AB,Retailer,,DTC,,,,#D1563F
Penguin Random House,Bertelsmann,Parent,,,,,,#B498C0
Skoobe,Bertelsmann and Holtzbrinck Publishing Group,Retailer,,DTC,,,,#C6513B
Blackstone Audio,Blackstone Publishing,Distributor,,B2B,,,,#3892A5
Blackstone Indie,Blackstone Publishing,Retailer,,B2B,,,,#BB4D38
Blackstone Library,Blackstone Publishing,Retailer,,B2B,,,,#B04835
Blackstone Wholesale,Blackstone Publishing,Retailer,,B2B,,,,#A54432
Downpour,Blackstone Publishing,Retailer,,DTC,,,,#9A3F2E
Tidal,Block,Retailer,,DTC,,,,#8F3B2B
Bokus Play,Bokusgruppen AB,Retailer,,DTC,,,,#843628
Bonnier Books UK,Bonnier AB,Parent,,,,,,#8C609E
Bookbeat,Bonnier AB,Retailer,,DTC,,,,#63281E
twelve point,Bonnier Books UK,Audio Imprint,,,,,,#FFEFD1
AudiobooksNow,Book Lender,Retailer,,DTC,,,,#58241A
Tocalivros,Campsoft,Retailer,,DTC,,,,#4D1F17
Independent Publishers Group,Chicago Review Press,Distributor,,B2B,,,,#2C8CA0
CNPeReading Audio,"China National Publications Import and Export (Group) Co., Ltd (CNEP)",Retailer,,DTC,,,,#421B14
Tumblebooks,Comcast Xfinity,Retailer,,DTC,,,,#F7D7D1
Aldiko,Demarque,Retailer,,DTC,,,,#EFB4A9
Cantook Education,Demarque,Distributor,,B2B,,,Educational Institutions,#21859A
Cantook Libraries,Demarque,Distributor,,B2B,,,Libraries,#14798E
Cantook Publishers,Demarque,Distributor,,B2B,,,,#137286
Booktopia,digiDirect,Retailer,,DTC,,,,#E78C7B
AudiobookStore.com,DME Media,Retailer,,DTC,,,,#E58371
EBSCO,EBSCO Industries,Retailer,,B2B,,,Institutional,#E37B68
Divibib,EKZ Bibliotheksservice GmbH,Retailer,,Institutional,,,,#E1735E
Naxos,EKZ Bibliotheksservice GmbH,Retailer,,DTC,,,,#E06B55
Pocket FM,EKZ Bibliotheksservice GmbH,Retailer,,DTC,,,,#DE624B
Barnes & Noble,Elliott Advisors,Retailer,,DTC,,,,#D1563F
La Feltrinelli,Feltrinelli Group,Retailer,,DTC,,,,#C6513B
Follett Learning,Follett Corporation,Distributor,,B2B,,,,#126C7F
Kuku FM,Fundamentum,Retailer,,DTC,,,,#BB4D38
Zebralution,GEMA,Distributor,,B2B,,,,#116677
Blinkist,Go1,Retailer,,DTC,,,,#B04835
RB Media,H.I.G. Capital and Francisco Partners,Parent,,,,Private,,#7C4991
Audiolib,Hachette Livre,Retailer,,DTC,,,,#A54432
Hachette Livre,Lagardère Group,Parent,,,,,,#743E8A
MLOL,Horizons Unlimited srl,Retailer,,DTC,,,,#9A3F2E
HumbleBundle,IGN Entertainment,Retailer,,DTC,,,,#8F3B2B
Chapters Bookstore,Indigo Books and Music,Retailer,,DTC,,,,#EFB4A9
Napster,Infinite Reality,Retailer,,DTC,,,,#E78C7B
CoreSource by Ingram,Ingram Content Group,Distributor,,B2B,,,,#072C34
Ingram Content Group,Ingram Industries,Parent,,,,,,#521969
Lantern,John Marshall Media,Retailer,,DTC,,,,#E58371
Lantern Audio,John Marshall Media,Distributor,,B2B,,,,#06262D
One Equity Partners,JP Morgan Chase,Parent,,,,,,#4D1863
