nom,parent,value,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Deezer,Access Industries,1,Retailer,,DTC,,,,#F7D7D1
Thalia.de,Advent International,1,Retailer,,DTC,,,,#EFB4A9
Bol,Ahold Delhaize,1,Retailer,,DTC,,,,#E78C7B
Alliance Entertainment,Alliance Entertainment Holding Corp,1,Distributor,,B2B,,,,#A5CED7
Google Play,Alphabet,1,Retailer,,DTC,,,,#E58371
Youtube,Alphabet,1,Parent,,,,,,#D7C7DD
ACX,Amazon,1,Distributor,Producer,,,,,#6AADBC
Audible,Amazon,1,Retailer,,DTC,,,,#E37B68
Brilliance Publishing,Amazon,1,Publisher,,,,,,#59A998
Books-a-Million,"American Public Education, Inc.",1,Retailer,,DTC,,,,#E1735E
Apple Audiobooks,Apple,1,Retailer,,DTC,,,,#E06B55
Xlibris,Author Solutions,1,Distributor,,B2B,,,,#4C9DAE
Binge Books,Authors A.I,1,Retailer,,DTC,,,,#DE624B
Axiell,Axiell Group AB,1,Retailer,,DTC,,,,#D1563F
Penguin Random House,Bertelsmann,1,Parent,,,,,,#B498C0
Skoobe,Bertelsmann and Holtzbrinck Publishing Group,1,Retailer,,DTC,,,,#C6513B
Blackstone Audio,Blackstone Publishing,1,Distributor,,B2B,,,,#3892A5
Blackstone Indie,Blackstone Publishing,1,Retailer,,B2B,,,,#BB4D38
Blackstone Library,Blackstone Publishing,1,Retailer,,B2B,,,,#B04835
Blackstone Wholesale,Blackstone Publishing,1,Retailer,,B2B,,,,#A54432
Downpour,Blackstone Publishing,1,Retailer,,DTC,,,,#9A3F2E
Tidal,Block,1,Retailer,,DTC,,,,#8F3B2B
Bokus Play,Bokusgruppen AB,1,Retailer,,DTC,,,,#843628
Bonnier Books UK,Bonnier AB,1,Parent,,,,,,#8C609E
Bookbeat,Bonnier AB,1,Retailer,,DTC,,,,#63281E
twelve point,Bonnier Books UK,1,Audio Imprint,,,,,,#FFEFD1
AudiobooksNow,Book Lender,1,Retailer,,DTC,,,,#58241A
Tocalivros,Campsoft,1,Retailer,,DTC,,,,#4D1F17
Independent Publishers Group,Chicago Review Press,1,Distributor,,B2B,,,,#2C8CA0
CNPeReading Audio,"China National Publications Import and Export (Group) Co., Ltd (CNEP)",1,Retailer,,DTC,,,,#421B14
Tumblebooks,Comcast Xfinity,1,Retailer,,DTC,,,,#F7D7D1
Aldiko,Demarque,1,Retailer,,DTC,,,,#EFB4A9
Cantook Education,Demarque,1,Distributor,,B2B,,,Educational Institutions,#21859A
Cantook Libraries,Demarque,1,Distributor,,B2B,,,Libraries,#14798E
Cantook Publishers,Demarque,1,Distributor,,B2B,,,,#137286
Booktopia,digiDirect,1,Retailer,,DTC,,,,#E78C7B
AudiobookStore.com,DME Media,1,Retailer,,DTC,,,,#E58371
EBSCO,EBSCO Industries,1,Retailer,,B2B,,,Institutional,#E37B68
Divibib,EKZ Bibliotheksservice GmbH,1,Retailer,,Institutional,,,,#E1735E
Naxos,EKZ Bibliotheksservice GmbH,1,Retailer,,DTC,,,,#E06B55
Pocket FM,EKZ Bibliotheksservice GmbH,1,Retailer,,DTC,,,,#DE624B
